filename,cell_type
Series005-_H20.tif,HELA
Series011-_H17.tif,HELA
Series015_M1.tif,MCF7
Series016_H18.tif,HELA
Series017_M1.tif,MCF7
Series021_M3.tif,MCF7
Series022-_B1.tif,BXPC3
Series024_M4.tif,MCF7
Series025_B2.tif,BXPC3
Series026_M5.tif,MCF7
Series027_H17.tif,HELA
Series036_B3.tif,BXPC3
Series038-M6.tif,MCF7
Series040_M7.tif,MCF7
Series042_M8.tif,MCF7
Series050-_H16.tif,HELA
Series056_H15.tif,HELA
Series061_H14.tif,HELA
Series066_H13.tif,HELA
Series073_H12.tif,HELA
Series074_B5.tif,BXPC3
Series077_B6.tif,BXPC3
Series080_H11.tif,HELA
Series086_H10.tif,HELA
Series089_H9.tif,HELA
Series090_H8.tif,HELA
Series093_H7.tif,HELA
Series095_H6.tif,HELA
Series099_H5.tif,HELA
Series102-_H4.tif,HELA
Series103_H3.tif,HELA
Series107_H2.tif,HELA
Series109_H1.tif,HELA
